company;Contacté;Notes;website_url;activity_sector;attributed_sale;status
Groupe Vivescia;;;https://www.vivescia.com/;Other;;
Charrette Service Recrutement Architecte - Architecte D'Intérieur - Intérim - Cdi - Cdd;;;https://www.charretteservice.fr/fr/presentation/architecture;Recruitment;;
Win Sport School;;;https://www.win-sport-school.com/;Formation/Education;;
Alantys Technology;;;https://www.alantys.com/;Other;;
Kilian Paris;;;https://www.bykilian.fr/;Other;;
Eurobio Scientific;;;https://www.eurobio-scientific.com/;Other;;
Scamark - Mouvement E.Leclerc;;;https://fr.linkedin.com/company/scamark;Other;;
Groupe Morgan Services France;;;https://www.groupe-morgan-services.fr/;Recruitment;;
Freyssinet;;;https://www.freyssinet.com/;Other;;
Naarea;;;https://www.naarea.fr/fr;Other;;
Riverchelles;;;https://www.riverchelles.fr/;Recruitment;;
Athlon France;;;https://www.athlon.com/fr/;Other;;
Talentbird;;;https://www.talentbird.fr/;Recruitment;;
Invivo Retail;;;https://www.invivo-group.com/en/activities/retail;Other;;
Groupe Trouillet;;;https://www.groupe-trouillet.com/;Other;;
Groupement Les Mousquetaires;;;https://www.mousquetaires.com/;Other;;
The Estée Lauder Companies Inc.;;;https://www.elcompanies.com/en;Other;;
Délifrance;;;https://www.delifrance.com/fr/;Other;;
Cadev / Kadra;;;http://cadev.eu/;Recruitment;;
Extia;;;https://www.extia-group.com/;Other;;
Sézane;;;https://www.sezane.com/fr;Other;;
Kion Group;;;https://www.kiongroup.com/en/;Other;;
Snop - Groupe Fsd;;;https://www.snop.eu/;Other;;
Ecomaison;;;https://ecomaison.com/;Other;;
Osc;;;https://www.ocs.fr/;Other;;
Teract;;;https://www.teract.com/en/teract-home/;Other;;
Adéquat Interim & Recrutement;;;https://www.lejobadequat.com/;Recruitment;;
Cosfibel Premium France;;;https://www.cosfibelgroup.com/fr/;Other;;
Tjx Europe;;;https://www.tjx.com/;Other;;
L'Apes;;;https://www.apes-dsu.fr/;Other;;
Тринити;;;https://en.wikipedia.org/wiki/Trinity_(nuclear_test);Other;;
Atelier Pg;;;https://www.atelierpg.com/;Formation/Education;;
Arkose&Co;;;https://www.arkoseandco.com/?lang=en;Other;;
Les Bienveillants By Oui Care;;;https://ouicare.com/marques/les_bienveillants/;Other;;
Auris - Groupe Agiloe;;;https://www.agiloe.com/;Other;;
J4S Intérim Et Recrutement;;;https://j4s.fr/;Recruitment;;
Domea Sas;;;https://domea.fr/en/home-en/;Other;;
Confidentiel;;;https://www.dictionnaire-juridique.com/definition/confidentiel.php#:~:text=D%C3%A9finition%20de%20Confidentiel&text=%22Confidentiel%22%20est%20l'adjectif,personne%20qui%20d%C3%A9tient%20la%20confidence.;Other;;
E2S Scop Petite Enfance;;;https://e2s.coop/;Other;;
Bolting;;;https://www.bolting.fr/;Recruitment;;
Citeo;;;https://www.citeo.com/;Other;;
Bwo - Brain Work Office - Recrutement;;;https://www.bwo-recrutement.fr/;Recruitment;;
Nouveau Monde Editions;;;https://www.nouveau-monde.net/;Other;;
Guard'Events;;;https://www.guardevents.com/;Other;;
Eurofeu;;;https://www.eurofeu.fr/;Other;;
Excelty'S;;;https://fr.linkedin.com/company/excelty's;Recruitment;;
Plisson Immobilier;;;https://www.plisson-immobilier.com/;Other;;
Hotel Prince De Galles;;;https://www.marriott.com/fr/hotels/parlc-prince-de-galles-a-luxury-collection-hotel-paris/overview/;Recruitment;;
Hexvia;;;https://www.hexvia.com/;Recruitment;;
Dalmata Hospitality;;;https://www.dalmatahospitality.com/en/dalmata-hospitality-home-english/;Recruitment;;
Acceotadeo;;;https://www.acceo-tadeo.fr/;Other;;
Demeco Group;;;https://www.demeco.fr/;Other;;
Fab Group;;;https://fab-group.fr/en/;Recruitment;;
Groupe Nuxe;;;https://fr.nuxe.com/;Other;;
Patriarche;;;https://www.patriarche.fr/en/;Other;;
Bonpoint;;;https://eu.bonpoint.com/;Other;;
Le Mouton À 5 Pattes - Recruteurs De Talents;;;https://www.lemoutona5pattes.com/;Recruitment;;
Grenke Ag;;;https://www.grenke.com/de/;Recruitment;;
Ibsa Group;;;https://www.ibsagroup.com/;Other;;
Uimm Paris;;;https://uimm.lafabriquedelavenir.fr/;Recruitment;;
Century 21 France;;;https://www.century21.fr/;Other;;
Farfetch;;;https://www.farfetch.com/;Other;;
Volvo Trucks France;;;https://www.volvotrucks.fr/fr-fr/;Recruitment;;
Norsk Hydro;;;https://www.hydro.com/en/;Recruitment;;
Brio Rh;;;https://www.briorh.com/;Recruitment;;
Emil Frey France;;;https://emilfreyfrance.fr/;Other;;
Jl Executive;;;https://www.jl-executive.com/;Recruitment;;
Tennaxia;;;https://www.tennaxia.com/en/;Other;;
Finaïa;;;https://finaia.fr/;Recruitment;;
Les Petites Canailles - Crèches Et Ecoles Bilingues;;;https://ecoles.lespetitescanailles.fr/;Formation/Education;;
Immo De France Paris Ile De France;;;https://www.immodefrance-iledefrance.com/;Other;;
Talents Immo Construction;;;https://www.talentsconstruction.fr/;Recruitment;;
Comptalents;;;https://www.comptalents.fr/;Recruitment;;
Fédération Nationale Des Centres De Santé;;;https://www.fncs.org/;Other;;
G2F Conseil;;;https://www.g2f-conseil.com/;Recruitment;;
Qualisocial;;;https://www.qualisocial.com/;Other;;
Endrix;;;https://www.endrix.com/en/;Recruitment;;
L'Oiseau Rare;;;https://www.oiseau-rare.fr/;Recruitment;;
Groupe Sii;;;https://sii-group.com/fr-FR;Other;;
Inrap;;;https://www.inrap.fr/;Other;;
Arlettie Paris;;;https://www.arlettie.com/;Other;;
Capgemini Invent;;;https://www.capgemini.com/about-us/who-we-are/our-brands/capgemini-invent/;Recruitment;;
Association Aurore;;;http://aurore.asso.fr/;Other;;
Lagardère Travel Retail;;;https://www.lagardere-tr.fr/fr/;Other;;
Cap Emploi 95;;;https://www.capemploi-95.com/;Other;;
Groupe Piment;;;https://www.groupepiment.fr/;Recruitment;;
Positiv Paris;;;https://bpifrance-creation.fr/organisme/positiv-paris-18/paris;Other;;
Elsan Poissy;;;https://www.elsan.care/fr/clinique-saint-louis;Other;;
E.Leclerc Ivry-Sur-Seine;;;https://www.e.leclerc/mag/e-leclerc-vitry-sur-seine;Other;;
Armonia Paris;;;https://restaurant-armonia.fr/;Other;;
Immobilière3F;;;https://www.groupe3f.fr/;Other;;
Groupe Ugc;;;https://www.ugc.fr/groupe-ugc.html;Other;;
Skema Business School;;;https://www.skema.edu/;Recruitment;;
Gr Interim & Recrutement 2;;;https://www.groupe-gr.com/;Recruitment;;
Synergie Domont;;;https://www.hellowork.com/fr-fr/entreprises/synergie-11944/ville_domont-95330.html;Recruitment;;
Uimm Bezons;;;https://uimm.lafabriquedelavenir.fr/;Formation/Education;;
Inwood Hotels;;;https://www.inwood-hotels.com/en/;Other;;
Lhh Les Pavillons-Sous-Bois;;;https://www.lhh.com/fr/fr/offre-emploi/les-pavillons-sous-bois/charg-ressources-humaines-h-f/17255198/;Recruitment;;
Ittaka, Groupe De Solutions Rh;;;https://ittaka.fr/;Recruitment;;
Lhh Courbevoie;;;https://annuaire-entreprises.data.gouv.fr/entreprise/lhh-411787567;Recruitment;;
Sobre Energie;;;https://www.sobre-energie.com/;Other;;
Fives;;;https://www.fivesgroup.com/;Other;;
Ionis Education Group;;;https://www.ionis-group.com/;Formation/Education;;
Lhh Neuilly-Sur-Seine;;;https://www.lhh.com/fr/fr/offre-emploi/neuilly-sur-seine/assistant-ressources-humaines-h-f/17207085/;Recruitment;;
Hilton;;;https://www.hilton.com/en/;Other;;
Groupama Assurances Mutuelles;;;https://www.groupama.fr/mutuelle-sante/;Other;;
Lhh Suresnes;;;https://www.lhh.com/fr/fr/offre-emploi/suresnes/assistant-ressources-humaines-h-f/17200119/;Recruitment;;
Weavy Consulting;;;https://weavy.fr/;Recruitment;;
Monoprix;;;https://www.monoprix.fr/;Other;;
Mccormick & Company;;;https://www.mccormickcorporation.com/;Other;;
Fondation Saint Jean De Dieu;;;https://www.fondation-saintjeandedieu.fr/;Recruitment;;
Dalloyau;;;https://www.dalloyau.fr/;Other;;
Myconnectt.Fr | La Solution Digitale Du Groupe Connectt;;;https://myconnectt.fr/;Recruitment;;
Up'Recrut Evry;;;https://www.uprecrut.fr/;Recruitment;;
Abeille Assurances;;;https://www.abeille-assurances.fr/;Other;;
Direction Des Services Administratifs Et Financiers Du Premier Ministre;;;https://www.gouvernement.fr/direction-des-services-administratifs-et-financiers-dsaf;Other;;
Actua Agences D'Emploi;;;https://actua.fr/offres/;Recruitment;;
Get Carrieres;;;https://www.get-carrieres.fr/;Recruitment;;
Ogeris France;;;https://ogeris-france.com/;Other;;
Batigere;;;https://www.batigere.fr/;Other;;
Instant-B;;;https://instant-b.fr/;Other;;
Famoco;;;https://www.famoco.com/;Other;;
Sgs & Co;;;https://www.sgsco.com/;Other;;
Mediatransports;;;https://mediatransports.com/;Other;;
Cafpi;;;https://www.cafpi.fr/;Other;;
Exos Recrutement - Intérim;;;https://exos-recrutement.com/;Recruitment;;
Casp;;;https://casp.asso.fr/;Other;;
Tecxell Interim;;;https://www.tecxell-interim.com/;Recruitment;;
Centre Parisien De Recyclage;;;https://www.cpr-recyclage.com/;Other;;
Opera National De Paris;;;https://www.operadeparis.fr/;Other;;
Stych;;;https://www.stych.fr/;Formation/Education;;
Paris Society;;;https://paris-society.com/;Other;;
Adecco;;;https://www.adecco.fr/;Recruitment;;
Laurence Montain;;;https://fr.linkedin.com/in/laurencemontain;Recruitment;;
Cbre Global Workplace Solutions (Gws);;;https://www.cbre.fr/en-gb/services/transform-business-outcomes/global-workplace-solutions;Other;;
Jimmy Choo;;;https://row.jimmychoo.com/en/home;Other;;
Thom;;;https://www.thomgroup.com/;Other;;
Rituals;;;https://www.rituals.com/;Other;;
Giorgio Armani;;;https://www.armani.com/;Other;;
Bigblue;;;https://www.bigblue.co/;Other;;
Pop Mart;;;https://www.popmart.com/;Other;;
Experimental Group;;;https://www.experimentalgroup.com/;Other;;
Bio C' Bon;;;https://www.bio-c-bon.eu/;Other;;
Adidas;;;https://www.adidas.fr/;Other;;
Oecd-Ocde;;;https://www.oecd.org/france/;Other;;
Spartner Agency;;;https://www.spartner-agency.com/;Other;;
Monceau Fleurs;;;https://www.monceaufleurs.com/;Other;;
Alice & Bob;;;https://alice-bob.com/;Other;;
Kiko Milano;;;https://www.kikocosmetics.com/fr-fr/;Other;;
L.E.K. Consulting;;;https://www.lek.com/;Recruitment;;
Akillis;;;https://akillis.com/en;Other;;
Batch;;;https://batch.com/;Recruitment;;
Courtyard & Residence Inn By Marriott Paris Charles De Gaulle Central Airport;;;https://www.marriott.com/fr/hotels/parri-residence-inn-paris-charles-de-gaulle-central-airport/overview/;Recruitment;;
La Redoute;;;https://www.laredoute.fr/;Other;;
Acting;;;https://en.wikipedia.org/wiki/Acting;Formation/Education;;
Recruteam;;;https://www.recruteam.fr/;Recruitment;;
Aramis Recrutement;;;https://www.aramis-interim.com/;Recruitment;;
Cabinet De Recrutement Hôtellerie | Armelle Auguste Recrutement® | Hospitality Executive Search;;;https://www.auguste-recrutement-hotellerie.com/;Recruitment;;
Lovisa Pty Ltd France;;;https://www.lovisajewellery.eu/;Other;;
La Vie Claire Sa;;;https://www.lavieclaire.com/;Other;;
Groupe Beaumanoir;;;https://www.groupe-beaumanoir.com/;Other;;
Colonies;;;https://www.livecolonies.com/en;Recruitment;;
Combo;;;https://combohr.com/;Other;;
Ecole Conte;;;https://www.ecole-conte.com/;Formation/Education;;
Idkids;;;https://www.idkids.fr/;Other;;
Institut Du Cerveau – Paris Brain Institute;;;https://institutducerveau-icm.org/fr/;Recruitment;;
Big Mamma;;;https://bigmammagroup.com/;Other;;
Apm Monaco;;;https://www.apm.mc/;Other;;
Mmg | Millet Mountain Group;;;https://www.millet.com/;Other;;
Marionnaud;;;https://www.marionnaud.fr/;Other;;
Chaussea;;;https://www.chaussea.com/fr/;Other;;
Courir;;;https://www.courir.com/;Other;;
United Airlines;;;https://www.united.com/;Recruitment;;
Coca-Cola Europacific Partners;;;https://www.cocacolaep.com/;Other;;
Laura Todd;;;https://lauratodd.com/;Other;;
Chloé;;;https://www.chloe.com/fr;Other;;
Espacil;;;https://www.espacil.com/;Other;;
Recrutop;;;https://www.recrutop.fr/;Recruitment;;
Bioserenity;;;https://www.bioserenity.fr/;Other;;
Birkenstock;;;https://www.birkenstock.com/fr;Other;;
Action;;;https://www.action.com/;Other;;
Events One;;;https://events-one.fr/;Recruitment;;
Mozoo;;;https://www.mozoo.fr/;Other;;
Raffles Hotels & Resorts;;;https://www.raffles.com/;Other;;
Université Psl;;;https://psl.eu/en;Formation/Education;;
Direction Generale De L'Aviation Civile;;;https://www.ecologie.gouv.fr/direction-generale-laviation-civile-dgac;Recruitment;;
Monnaie De Paris;;;https://www.monnaiedeparis.fr/fr;Other;;
Servair;;;https://www.servair.fr/;Other;;
Unilabs France;;;https://unilabs.fr/;Other;;
Université Paris Dauphine- Psl;;;https://dauphine.psl.eu/;Formation/Education;;
Ratp Cap Île-De-France;;;https://ratpgroup.com/fr/filiales/ratp-cap-idf/;Other;;
Colgate-Palmolive;;;https://www.colgatepalmolive.com/en-us;Other;;
Sopra Steria Next;;;https://www.soprasteria.fr/services/conseil;Other;;
Apleona Group;;;https://www.apleona.com/en/about-apleona/company/;Other;;
Vyv 3 Île-De-France;;;https://www.idf.vyv3.fr/;Recruitment;;
Intrinsec;;;https://www.intrinsec.com/en/;Recruitment;;
Lesjeudis;;;https://lesjeudis.com/;Recruitment;;
Cleor;;;https://www.cleor.com/;Other;;
Digisap Solutions;;;https://www.digisap-solutions.com/;Other;;
Five Guys France;;;https://fiveguys.fr/;Other;;
Vinci Construction;;;https://vinci-construction.com/en/;Other;;
Michael Page;;;https://www.michaelpage.fr/;Recruitment;;
Airbnb;;;https://www.airbnb.com/;Other;;
Audika;;;https://www.audika.fr/;Other;;
Wom - Conseils En Recrutement;;;https://wom-recrutement.com/;Recruitment;;
Defenseur Des Droits;;;https://www.defenseurdesdroits.fr/;Other;;
Ville De Fontenay-Aux-Roses;;;https://www.fontenay-aux-roses.fr/;Other;;
Foxrh - Recruteurs De Talents Rh;;;https://www.foxrh.com/;Recruitment;;
Belfor (France);;;https://www.belfor.com/en/fr;Other;;
Aldi France;;;https://www.aldi.fr/;Other;;
Jd Sports France;;;https://www.jdsports.fr/;Other;;
Edp Renewables;;;https://www.edpr.com/en;Other;;
Homa;;;https://www.homagames.com/;Other;;
Cma France;;;https://www.artisanat.fr/;Other;;
Corwave;;;https://www.corwave.com/;Other;;
Hilti France;;;https://www.hilti.fr/;Other;;
Balt Group;;;https://baltgroup.com/;Other;;
Believe;;;https://www.believe.com/node/9;Other;;
Exel Industries;;;https://www.exel-industries.com/?lang=en;Other;;
Keolis Cif;;;https://fr.wikipedia.org/wiki/R%C3%A9seau_de_bus_CIF;Other;;
Atalian Global Services;;;https://atalian.com/?lang=en;Other;;
Selescope;;;https://www.selescope.com/en/;Recruitment;;
Wethenew;;;https://wethenew.com/en;Other;;
Télécom Paris;;;https://www.telecom-paris.fr/;Recruitment;;
Siège De L'Ap-Hp;;;https://www.facebook.com/assistancepubliquehopitauxdeparis/posts/d%C3%A9m%C3%A9nagement-le-si%C3%A8ge-de-lap-hp-d%C3%A9m%C3%A9nage-a-compter-du-mardi-13-septembre-2022-le/5872110069490303/#:~:text=L'adresse%20postale%20du%20si%C3%A8ge,CS%2022305;Other;;
Cour D'Appel De Paris;;;https://www.cours-appel.justice.fr/paris;Other;;
Quantic Dream;;;https://www.quanticdream.com/en;Other;;
Leaders League;;;https://www.leadersleague.com/;Other;;
France Médias Monde;;;https://www.francemediasmonde.com/fr/;Other;;
Atexis;;;https://www.atexis.com/;Other;;
Ville D'Antony;;;https://www.ville-antony.fr/;Other;;
Vovoxx;;;https://fr.linkedin.com/company/vovoxx;Other;;
M6;;;https://www.6play.fr/6play;Other;;
Ville De Meudon;;;https://www.meudon.fr/;Other;;
Eowin;;;https://eowin.com/;Other;;
Orano;;;https://www.orano.group/en;Other;;
Ets Public De Sante Barthelemy Durand;;;https://www.eps-etampes.fr/accueil/;Other;;
Ville De Palaiseau;;;https://www.ville-palaiseau.fr/;Other;;
Fréquence Protestante;;;https://frequenceprotestante.com/;Other;;
Digital Prisma Players;;;https://fr.linkedin.com/company/digital-prisma-players;Other;;
Studia;;;https://www.studia.fr/;Other;;
Supplay - Interim Et Recrutement;;;https://www.supplay.fr/;Recruitment;;
Kantar Media Fr;;;https://www.kantar.com/fr;Other;;
Institut Technologique Fcba;;;https://www.fcba.fr/;Other;;
Jobs Via Efinancialcareers;;;https://www.efinancialcareers.fr/en/;Recruitment;;
Cy Cergy Paris Université;;;https://www.cyu.fr/;Formation/Education;;
Skema;;;https://www.skema.edu/;Recruitment;;
Diderot Education - Campus De Paris;;;https://www.coursdiderot.fr/campus-paris/;Formation/Education;;
The Walt Disney Company;;;https://thewaltdisneycompany.com/;Other;;
Cours Des Petits Champs;;;https://www.petitschamps.fr/;Formation/Education;;
Manpower;;;https://www.manpower.fr/;Recruitment;;
Evolis - Immobilier D'Entreprise;;;https://www.evolis.fr/;Other;;
Mairie;;;https://www.paris.fr/;Other;;
Mairie De Champigny Sur Marne;;;https://www.champignysurmarne.fr/;Other;;
Supplay Lognes Tc;;;https://interim.supplay.fr/contact-agence-interim-a7702;Recruitment;;
Ville De Champigny Sur Marne;;;https://www.champignysurmarne.fr/;Other;;
Groupe Jlv - Evolis;;;https://www.evolis.fr/groupe-jlv-evolis/;Other;;
College Alain Fournier;;;https://pia.ac-paris.fr/serail/jcms/s1_1590006/fr/accueil;Formation/Education;;
Leaseo;;;https://www.leaseo.fr/;Other;;
Banque De France;;;https://www.banque-france.fr/;Other;;
Ifcv - Formations En Alternance;;;https://www.ifcv.fr/;Formation/Education;;
Jeveuxaider.Gouv.Fr;;;https://www.jeveuxaider.gouv.fr/;Other;;
Chloé Prestige;;;https://www.chloeprestige.com/;Recruitment;;
Frparexcellence;;;https://www.fr-parexcellence.com/;Recruitment;;
Florence Doré;;;http://www.florencedore.fr/;Recruitment;;
Torann-France;;;https://www.torann-france.fr/;Recruitment;;
Gr Welcome Services;;;https://www.groupe-gr.com/en/subsidiaries/welcome-services;Recruitment;;
Le Fouquet'S;;;https://www.hotelsbarriere.com/fr/collection-fouquets/paris/restaurants-et-bars/fouquets.html;Other;;
Pullman Paris Tour Eiffel;;;https://www.pullmanparistoureiffel.fr/;Other;;
Latham & Watkins;;;https://www.lw.com/;Other;;
Phone Régie;;;https://www.phone-regie.com/;Other;;
Charlestown (Hôtes & Hôtesses);;;https://charlestown.fr/;Other;;
Goron S.A.S;;;https://www.goron.fr/;Other;;
Agence Mahola;;;https://www.mahola.fr/;Recruitment;;
Onet Accueil;;;https://www.onet.fr/accueil/;Other;;
Pénélope Groupe;;;https://penelope.fr/;Recruitment;;
Dsd Organisation;;;https://www.dsdorganisation.com/;Other;;
Centaurus Hospitality Management;;;https://www.groupecentaurus.com/en/;Other;;
Dokhan Luxury Hotels;;;https://www.marriott.com/en-us/hotels/partx-le-dokhans-paris-arc-de-triomphe-a-tribute-portfolio-hotel/overview/;Other;;
Alvergnas Automobiles;;;https://www.alvergnas.com/;Other;;
Rakuten France;;;https://fr.shopping.rakuten.com/;Other;;
Rituals Cosmetics France;;;https://www.rituals.com/fr-fr/home;Other;;
Madrigall;;;https://www.gallimard.fr/Footer/Ressources/Le-groupe-Madrigall;Other;;
Ville De Bois-Colombes;;;https://www.bois-colombes.fr/;Other;;
Eos By Synapse;;;https://eosbysynapse.com/;Recruitment;;
Hujemax;;;https://www.hujemax.com/;Recruitment;;
Nibelis;;;https://nibelis.com/;Other;;
Reply;;;https://www.reply.com/en;Other;;
S&You;;;https://www.sandyou.fr/;Recruitment;;
Keylinkjob;;;https://www.keylinkjob.com/;Recruitment;;
Ikos Group;;;https://www.ikosconsulting.com/;Recruitment;;
Pictet Group;;;https://www.pictet.com/us/en;Other;;
Via Nova;;;https://www.vianova.io/;Other;;
Cmie-Sest-Ametif | Service De Prévention Et De Santé Au Travail;;;https://www.cmie.fr/;Other;;
Charleen;;;https://www.charleen.fr/;Other;;
Nestlé Nespresso Sa;;;https://nestle-nespresso.com/;Other;;
Eqiom Granulats Courbevoie;;;https://www.eqiom.com/actus/eqiom-demenage-son-siege-social-courbevoie-030920;Other;;
Picard;;;https://www.picard.fr/;Other;;
Ugap;;;https://www.ugap.fr/;Other;;
Nonstop Consulting;;;https://nonstopconsulting.com/;Recruitment;;
Seqens Al;;;https://www.seqens.fr/;Other;;
A.S.O;;;https://www.aso.fr/en/;Other;;
Vinci Concessions;;;https://www.vinci-concessions.com/en/;Other;;
Radio France;;;https://www.radiofrance.fr/;Other;;
Mc Gestion;;;https://mc-gestion.lu/;Other;;
Nous Anti-Gaspi;;;https://www.nousantigaspi.com/;Other;;
Naval Group;;;https://www.naval-group.com/en;Recruitment;;
Mnh;;;https://www.mnh.fr/;Other;;
Sas De Neuville;;;https://www.chocolat-deneuville.com/;Other;;
Ovelink;;;https://www.ovelink.com/;Recruitment;;
Cromology;;;https://www.cromology.com/en/;Other;;
Cta;;;https://en.wikipedia.org/wiki/Call_to_action_(marketing);Other;;
Talenteeds;;;https://www.linkedin.com/company/talenteeds;Recruitment;;
Mairie De Clichy;;;https://www.ville-clichy.fr/;Other;;
La Croissanterie;;;https://www.lacroissanterie.fr/;Other;;
Groupe Bbl;;;https://groupe-bbl.com/;Other;;
Crédit Agricole S.A.;;;https://www.credit-agricole.com/;Other;;
Hôpital Américain De Paris;;;https://www.american-hospital.org/;Other;;
Air Liquide;;;https://www.airliquide.com/fr;Other;;
Dassault Aviation;;;https://www.dassault-aviation.com/en/;Other;;
Scalian;;;https://www.scalian.com/en/;Other;;
Bred Banque Populaire;;;https://www.bred.fr/;Other;;
Animation;;;https://en.wikipedia.org/wiki/Animation;Other;;
Afimes;;;https://www.afimes.com/;Other;;
Ecr;;;https://aws.amazon.com/ecr/;Other;;
Youschool;;;https://www.youschool.fr/;Formation/Education;;
Agence Lbe;;;https://www.agence-labelleequipe.com/;Other;;
Bausch + Lomb;;;https://www.bausch.com/;Other;;
Ocde;;;https://www.oecd.org/france/;Other;;
Inhni;;;https://www.inhni.com/en;Formation/Education;;
Cabinet Dentaire;;;https://www.doctolib.fr/cabinet-dentaire;Recruitment;;
Studi Cfa;;;https://cfa.studi.com/;Formation/Education;;
Lycée Professionnel Jean Pierre Timbaud;;;https://www.lyc-timbaud-bretigny.fr/;Formation/Education;;
Epitech;;;https://www.epitech.eu/;Formation/Education;;
Mgen;;;https://www.mgen.fr/;Other;;
Cpam 92;;;https://www.ameli.fr/hauts-de-seine/assure/adresses-et-contacts;Other;;
Theassistant;;;https://en.theassistant.com/;Other;;
Ocf Automobiles;;;https://www.hyundai.com/fr/fr/distributeurs.html/l/villeneuve-saint-georges/188-rue-de-paris/c06ab00454;Other;;
R2T Bâtiment - Saint-Denis;;;http://www.r2t-groupe.com/r2t-saint-denis;Other;;
Ville De Paris;;;https://www.paris.fr/;Other;;
Euretudes Travail Temporaire;;;https://euretudes.fr/;Recruitment;;
Ehpad Mrg (Maison De Retraite Et De Gériatrie);;;https://www.fondation-de-rothschild.fr/etablissements/maison-de-retraite-et-de-geriatrie-paris-12/;Other;;
Fft;;;https://www.fft.fr/;Recruitment;;
Eurofins;;;https://www.eurofins.com/;Other;;
Ido Paris;;;https://www.institutdauphine.com/;Formation/Education;;
Talents Adv & Supply;;;https://www.talents-adv-supply.fr/;Recruitment;;
Ice (Industrielle De Contrôle Et D'Equipement);;;https://www.icegroupe.com/fr/societes/ice-sas;Other;;
Riverchelles La Defense;;;https://www.riverchelles.fr/;Recruitment;;
Qualis Versailles;;;https://www.qualis-recrutement.fr/;Recruitment;;
Epitech Industrie & Ingénierie;;;https://e-epitech.com/Ingenierie/Technique;Recruitment;;
Laboratoires Juva Santé;;;https://www.juva.com/;Other;;
Aboca;;;https://www.aboca.com/;Other;;
Skills Paris;;;https://skills-rh.fr/agences/paris/;Recruitment;;
Technologie Medicale;;;https://www.technologiemedicale.com/en/;Other;;
Lynx Rh;;;https://www.lynx-rh.com/;Recruitment;;
Sabre Paris;;;https://sabre-paris.com/;Other;;
Envea;;;https://www.envea.global/;Other;;
Samsic Emploi - Gennevilliers Transport;;;https://www.samsic-emploi.fr/nos-agences/ile-de-france/hauts-de-seine-92/gennevilliers-92230;Recruitment;;
Thomas Export;;;https://www.thomas-export.com/?lang=en;Other;;
I.G.E Sa;;;https://www.igesa.fr/accueil;Other;;
Sinclair Ressources;;;https://www.sinclairressources.com/;Recruitment;;
Mondelēz International;;;https://www.mondelezinternational.com/;Other;;
Skills Massy;;;https://skills-rh.fr/agences/massy/;Recruitment;;
Randstad;;;https://www.randstad.fr/;Recruitment;;
Laita;;;https://www.laita.com/;Other;;
Rungis Employers Group;;;https://rungisge.fr/;Recruitment;;
Kelly;;;https://www.instagram.com/kellyvedovelli/?hl=en;Recruitment;;
Lip Solutions Rh Paris Office;;;https://www.groupelip.com/503-agence-interim-paris-tertiaire-services;Recruitment;;
Sads Group;;;https://www.sads-group.eu/;Recruitment;;
Lhh Recruitment Solutions;;;https://www.lhh.com/fr/fr/;Recruitment;;
Withings;;;https://www.withings.com/;Other;;
Pwc;;;https://www.pwc.com/;Other;;
Hays France;;;https://www.hays.fr/;Recruitment;;
Ephemera;;;https://en.ephemera-group.com/;Other;;
L'Occitane;;;https://fr.loccitane.com/;Other;;
Nouveaufocus Recrutement;;;https://fr.indeed.com/q-focus-recrutement-emplois.html;Recruitment;;
Serenest Entreprise;;;https://serenest.fr/;Other;;
Verisure;;;https://www.verisure.fr/;Other;;
Mutualité Sociale Agricole Ile De France;;;https://iledefrance.msa.fr/;Other;;
Groupe Centaurus;;;https://www.groupecentaurus.com/;Other;;
Institut Curie;;;http://curie.fr/;Other;;
Progressis;;;https://www.progressis.com/;Recruitment;;
Institut Du Cerveau Et De La Moelle Épinière;;;https://institutducerveau-icm.org/fr/;Recruitment;;
Kg Ressources;;;https://kgressources.atsii.fr/;Recruitment;;
Paint Everest;;;https://peintureseverest.fr/en;Other;;
Solution Profil;;;https://solutionprofil.fr/;Recruitment;;
Scet;;;https://www.scet.fr/;Recruitment;;
Bon Talent;;;https://bontalent.fr/;Recruitment;;
Bouygues Travaux Publics;;;https://www.bouygues-tp.com/;Other;;
Houdart Et Associes;;;https://www.houdart.org/;Other;;
Amf;;;https://www.amf-france.org/en;Other;;
Université Paris Est Créteil (Upec);;;https://www.u-pec.fr/;Formation/Education;;
Unik And Co;;;https://unikandco.com/;Recruitment;;
Mercedes-Benz Paris;;;https://www.paris.mercedes-benz.fr/;Other;;
Perles Office;;;https://www.perles-office.com/;Other;;
Institut National Du Cancer;;;https://www.e-cancer.fr/;Other;;
Euretudes;;;https://euretudes.fr/;Recruitment;;
Colibri;;;https://portail.colibris.education.gouv.fr/;Other;;
Groupe Afnor;;;https://www.afnor.org/;Formation/Education;;
France Boissons;;;https://www.eazle.fr/;Other;;
Afnor Groupe;;;https://www.afnor.org/;Other;;
Acteur Majeur De L'Industrie Des Jeux Et Casinos;;;https://www.mauvaisemere.fr/2023/11/06/lessor-des-jeux-de-casino-en-ligne-accessibles/#:~:text=Lorsqu'il%20s'agit%20de,industrie%20du%20jeu%20en%20ligne.;Other;;
Reseau Ges;;;https://www.ppa.fr/reseau-grandes-ecoles-specialisees.html;Formation/Education;;
Fédération Française De Basketball;;;https://www.ffbb.com/;Other;;
Ifae Rh;;;https://www.ifae.fr/formations/ressources-humaines/;Formation/Education;;
Chambres D'Agriculture France;;;https://chambres-agriculture.fr/;Other;;
Lutece;;;https://en.wikipedia.org/wiki/Lut%C3%A8ce;Other;;
